iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 35;  5.90374; 0.986744;
Particle no.; 36;  6.70176; 6.0504;
Particle no.; 37;  3.68747; 6.02105;
Particle no.; 38;  4.56181; 0.928003;
Particle no.; 39;  4.51997; 2.30908;
Particle no.; 40;  4.33022; 2.08751;
Particle no.; 41;  6.17846; 2.45332;
Particle no.; 42;  3.9172; 5.97798;
Particle no.; 43;  2.45061; 4.33684;
Particle no.; 44;  5.04135; 3.01073;
Particle no.; 45;  3.69502; 3.2968;
Particle no.; 46;  4.44468; 6.10147;
Particle no.; 47;  2.63506; 3.13259;
Particle no.; 48;  5.41611; 2.82637;
Particle no.; 49;  5.46996; 3.14234;
iteration no.; 15; x coordinate; y coordinate; 
Particle no.; 0;  5.36495; 1.96304;
Particle no.; 1;  5.65592; 1.88991;
Particle no.; 2;  2.79761; 4.11564;
Particle no.; 3;  5.46895; 0.528228;
Particle no.; 4;  4.41195; 2.33755;
Particle no.; 5;  5.58683; 2.55343;
Particle no.; 6;  2.69305; 5.36771;
Particle no.; 7;  5.60149; 1.86542;
Particle no.; 8;  4.15798; 1.75064;
Particle no.; 9;  4.56893; 2.30225;
Particle no.; 10;  6.26691; 2.6352;
Particle no.; 11;  3.33605; 2.6823;
Particle no.; 12;  5.1836; 0.836352;
Particle no.; 13;  4.2765; 1.90034;
Particle no.; 14;  2.26956; 3.13486;
Particle no.; 15;  3.86563; 4.83762;
Particle no.; 16;  5.66177; 2.61772;
Particle no.; 17;  4.75946; 2.8719;
Particle no.; 18;  5.69398; 5.30799;
Particle no.; 19;  2.56125; 4.08311;
Particle no.; 20;  5.19762; 3.58219;
Particle no.; 21;  5.4186; 1.02881;
Particle no.; 22;  4.48863; 1.84589;
Particle no.; 23;  6.85063; 3.4741;
Particle no.; 24;  6.28893; 1.77008;
Particle no.; 25;  4.82887; 3.09;
Particle no.; 26;  4.61187; 2.21473;
Particle no.; 27;  6.14534; 4.4679;
Particle no.; 28;  2.46463; 5.48211;
Particle no.; 29;  6.77814; 3.02;
Particle no.; 30;  5.033; 3.89444;
Particle no.; 31;  1.89632; 1.74891;
Particle no.; 32;  3.89008; 2.21749;
Particle no.; 33;  5.49798; 3.89416;
Particle no.; 34;  5.87534; 1.24733;
Particle no.; 35;  5.90212; 0.968158;
Particle no.; 36;  6.71749; 6.0973;
Particle no.; 37;  3.64508; 6.08267;
Particle no.; 38;  4.52815; 0.89584;
