iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 31;  6.26562; 2.18321;
Particle no.; 32;  2.18778; 2.7563;
Particle no.; 33;  5.31406; 5.56558;
Particle no.; 34;  5.95087; 5.70501;
Particle no.; 35;  0.0342616; 2.40785;
Particle no.; 36;  1.63527; 6.18115;
Particle no.; 37;  3.08216; 6.47429;
Particle no.; 38;  6.70106; 2.71507;
Particle no.; 39;  4.71246; 2.89142;
Particle no.; 40;  6.57186; 6.30239;
Particle no.; 41;  5.59233; 5.75348;
Particle no.; 42;  1.32297; 4.14828;
Particle no.; 43;  6.5775; 6.70242;
Particle no.; 44;  7; 0;
Particle no.; 45;  1.40847; 5.26942;
Particle no.; 46;  2.81463; 2.16784;
Particle no.; 47;  1.35296; 6.08976;
Particle no.; 48;  5.05042; 4.17738;
Particle no.; 49;  2.75567; 4.32942;
iteration no.; 60; x coordinate; y coordinate; 
Particle no.; 0;  7; 1.26901;
Particle no.; 1;  2.99988; 3.15787;
Particle no.; 2;  6.29279; 3.05443;
Particle no.; 3;  6.5356; 6.58089;
Particle no.; 4;  0.814955; 0.330127;
Particle no.; 5;  2.79294; 3.77001;
Particle no.; 6;  0.829243; 5.36266;
Particle no.; 7;  7; 4.43026;
Particle no.; 8;  5.80322; 0;
Particle no.; 9;  2.08152; 3.72937;
Particle no.; 10;  5.13404; 3.26118;
Particle no.; 11;  3.47427; 6.33467;
Particle no.; 12;  0.875456; 5.04888;
Particle no.; 13;  5.46751; 2.20165;
Particle no.; 14;  1.13727; 2.47549;
Particle no.; 15;  7; 0.0763356;
Particle no.; 16;  7; 2.1183;
Particle no.; 17;  5.54371; 3.25856;
Particle no.; 18;  3.09088; 4.26311;
Particle no.; 19;  3.79932; 5.0516;
Particle no.; 20;  2.73714; 4.14893;
Particle no.; 21;  6.49893; 2.90647;
Particle no.; 22;  1.92087; 7;
Particle no.; 23;  1.97128; 6.30127;
Particle no.; 24;  2.23809; 4.60683;
Particle no.; 25;  3.58775; 5.50763;
Particle no.; 26;  5.87821; 4.20634;
Particle no.; 27;  0.575997; 0.640167;
Particle no.; 28;  0; 1.78054;
Particle no.; 29;  2.88573; 4.51665;
